Lat	Lon	Time	Date	Speed
55.5874800000	37.1003333333	15:53:45.200	29/07/16	0.06
55.5874800000	37.1003333333	15:53:45.400	29/07/16	0.20
55.5874800000	37.1003333333	15:53:45.600	29/07/16	0.89
55.5874800000	37.1003316667	15:53:45.800	29/07/16	2.13
55.5874800000	37.1003300000	15:53:46.000	29/07/16	2.83
55.5874816667	37.1003283333	15:53:46.200	29/07/16	2.94
55.5874816667	37.1003250000	15:53:46.400	29/07/16	2.63
55.5874816667	37.1003233333	15:53:46.600	29/07/16	3.24
55.5874833333	37.1003200000	15:53:46.800	29/07/16	3.57
55.5874833333	37.1003183333	15:53:47.000	29/07/16	3.54
55.5874850000	37.1003150000	15:53:47.200	29/07/16	3.56
55.5874850000	37.1003116667	15:53:47.400	29/07/16	3.61
55.5874850000	37.1003083333	15:53:47.600	29/07/16	3.46
55.5874866667	37.1003050000	15:53:47.800	29/07/16	3.76
55.5874883333	37.1003033333	15:53:48.000	29/07/16	3.69
55.5874883333	37.1003000000	15:53:48.200	29/07/16	3.70
55.5874883333	37.1002966667	15:53:48.400	29/07/16	3.67
55.5874900000	37.1002933333	15:53:48.600	29/07/16	3.76
55.5874900000	37.1002900000	15:53:48.800	29/07/16	3.41
55.5874916667	37.1002883333	15:53:49.000	29/07/16	3.69
55.5874916667	37.1002850000	15:53:49.200	29/07/16	3.69
55.5874933333	37.1002816667	15:53:49.400	29/07/16	3.32
55.5874933333	37.1002783333	15:53:49.600	29/07/16	3.80
55.5874933333	37.1002766667	15:53:49.800	29/07/16	3.50
55.5874933333	37.1002733333	15:53:50.000	29/07/16	3.32
55.5874950000	37.1002700000	15:53:50.200	29/07/16	3.94
55.5874950000	37.1002666667	15:53:50.400	29/07/16	3.54
55.5874950000	37.1002633333	15:53:50.600	29/07/16	3.59
55.5874950000	37.1002616667	15:53:50.800	29/07/16	3.69
55.5874966667	37.1002583333	15:53:51.000	29/07/16	3.44
55.5874966667	37.1002550000	15:53:51.200	29/07/16	3.57
55.5874966667	37.1002516667	15:53:51.400	29/07/16	3.94
55.5874983333	37.1002483333	15:53:51.600	29/07/16	3.82
55.5874983333	37.1002450000	15:53:51.800	29/07/16	3.69
55.5874983333	37.1002416667	15:53:52.000	29/07/16	3.94
55.5875000000	37.1002383333	15:53:52.200	29/07/16	3.80
55.5875000000	37.1002366667	15:53:52.400	29/07/16	3.69
55.5875016667	37.1002333333	15:53:52.600	29/07/16	4.00
55.5875016667	37.1002300000	15:53:52.800	29/07/16	3.63
55.5875016667	37.1002283333	15:53:53.000	29/07/16	3.89
55.5875033333	37.1002250000	15:53:53.200	29/07/16	3.87
55.5875033333	37.1002216667	15:53:53.400	29/07/16	3.48
55.5875050000	37.1002200000	15:53:53.600	29/07/16	4.15
55.5875050000	37.1002166667	15:53:53.800	29/07/16	3.83
55.5875066667	37.1002133333	15:53:54.000	29/07/16	3.67
55.5875066667	37.1002116667	15:53:54.200	29/07/16	3.80
55.5875066667	37.1002083333	15:53:54.400	29/07/16	3.69
55.5875083333	37.1002050000	15:53:54.600	29/07/16	3.37
55.5875083333	37.1002033333	15:53:54.800	29/07/16	4.17
55.5875100000	37.1002000000	15:53:55.000	29/07/16	3.52
55.5875100000	37.1001966667	15:53:55.200	29/07/16	3.65
55.5875100000	37.1001950000	15:53:55.400	29/07/16	4.07
55.5875116667	37.1001916667	15:53:55.600	29/07/16	3.54
55.5875116667	37.1001883333	15:53:55.800	29/07/16	3.44
55.5875116667	37.1001866667	15:53:56.000	29/07/16	3.72
55.5875133333	37.1001833333	15:53:56.200	29/07/16	3.50
55.5875133333	37.1001816667	15:53:56.400	29/07/16	3.70
55.5875133333	37.1001783333	15:53:56.600	29/07/16	3.83
55.5875150000	37.1001750000	15:53:56.800	29/07/16	3.61
55.5875150000	37.1001733333	15:53:57.000	29/07/16	3.78
55.5875166667	37.1001700000	15:53:57.200	29/07/16	3.91
55.5875166667	37.1001666667	15:53:57.400	29/07/16	3.35
55.5875166667	37.1001633333	15:53:57.600	29/07/16	3.65
55.5875183333	37.1001616667	15:53:57.800	29/07/16	3.46
55.5875183333	37.1001583333	15:53:58.000	29/07/16	3.57
55.5875200000	37.1001550000	15:53:58.200	29/07/16	3.52
55.5875200000	37.1001533333	15:53:58.400	29/07/16	3.74
55.5875216667	37.1001500000	15:53:58.600	29/07/16	3.52
55.5875216667	37.1001466667	15:53:58.800	29/07/16	3.50
55.5875216667	37.1001450000	15:53:59.000	29/07/16	3.89
55.5875233333	37.1001416667	15:53:59.200	29/07/16	3.65
55.5875233333	37.1001383333	15:53:59.400	29/07/16	3.85
55.5875250000	37.1001350000	15:53:59.600	29/07/16	3.70
55.5875250000	37.1001316667	15:53:59.800	29/07/16	3.67
55.5875250000	37.1001283333	15:54:0.000	29/07/16	4.19
55.5875266667	37.1001250000	15:54:0.200	29/07/16	4.32
55.5875266667	37.1001216667	15:54:0.400	29/07/16	3.65
